train_accuracy_history,test_accuracy_history
0.3280846178531647,0.4530075192451477
0.4994124472141266,0.5385338068008423
0.5736780166625977,0.6024436354637146
0.6289071440696716,0.6390977501869202
0.6582843661308289,0.6231203079223633
0.6700352430343628,0.6475563645362854
0.7074030637741089,0.643796980381012
0.7229142189025879,0.655075192451477
0.7377203106880188,0.6513158082962036
0.761457085609436,0.655075192451477
0.7861339449882507,0.655075192451477
0.8058754205703735,0.6607142686843872
0.8286721706390381,0.6560150384902954
0.8470035195350647,0.655075192451477
0.8556991815567017,0.6607142686843872
