train_accuracy_history,test_accuracy_history
0.35581669211387634,0.4689849615097046
0.46509987115859985,0.527255654335022
0.511868417263031,0.48120301961898804
0.5480611324310303,0.5441729426383972
0.5788484215736389,0.530075192451477
0.6126909255981445,0.5789473652839661
0.6329024434089661,0.5780075192451477
0.6507638096809387,0.6156014800071716
0.6625146865844727,0.6156014800071716
0.6829612255096436,0.6080827116966248
0.7034077644348145,0.6080827116966248
0.7125734686851501,0.625
0.7287896871566772,0.6268796920776367
0.7433607578277588,0.6315789222717285
0.7544065713882446,0.6315789222717285
