train_accuracy_history,test_accuracy_history
0.3447708487510681,0.3994360864162445
0.49118682742118835,0.48308271169662476
0.52737957239151,0.5328947305679321
0.5783783793449402,0.5742481350898743
0.616686224937439,0.6118420958518982
0.6406580209732056,0.6174812316894531
0.6719154119491577,0.625
0.6843713521957397,0.6381579041481018
0.711163341999054,0.6325187683105469
0.7193889617919922,0.6306390762329102
0.7405405640602112,0.6372180581092834
0.7631022334098816,0.6390977501869202
0.7781433463096619,0.6428571343421936
0.7978848218917847,0.6456766724586487
0.8145710825920105,0.6475563645362854
