train_accuracy_history,test_accuracy_history
0.37309378385543823,0.49248120188713074
0.4861082136631012,0.4887218177318573
0.5410486459732056,0.4755639135837555
0.5571339130401611,0.5413534045219421
0.5924378633499146,0.5789473652839661
0.6212659478187561,0.5751879811286926
0.6432003378868103,0.5902255773544312
0.6605389714241028,0.5921052694320679
0.6751618981361389,0.6071428656578064
0.6922916173934937,0.5939849615097046
0.6956340074539185,0.6071428656578064
0.7236264944076538,0.6259398460388184
0.7367871403694153,0.6240601539611816
0.7482765913009644,0.6296992301940918
0.7618550062179565,0.6109022498130798
