train_accuracy_history,test_accuracy_history
0.3783162832260132,0.4624060094356537
0.4919573962688446,0.5206766724586487
0.5316482186317444,0.548872172832489
0.5606852173805237,0.5789473652839661
0.5886776447296143,0.5902255773544312
0.6112387776374817,0.5958646535873413
0.6260706186294556,0.6278195381164551
0.6617923378944397,0.61654132604599
0.669730544090271,0.5958646535873413
0.6902026534080505,0.6390977501869202
0.7131815552711487,0.6315789222717285
0.7242531776428223,0.6296992301940918
0.7438896894454956,0.6071428656578064
0.7440986037254333,0.6090225577354431
0.7597660422325134,0.6221804618835449
