train_accuracy_history,test_accuracy_history
0.3408450782299042,0.4140844941139221
0.5481220483779907,0.5934272408485413
0.6140844821929932,0.6075117588043213
0.654460072517395,0.6488263010978699
0.6791079640388489,0.6666666865348816
0.6941314339637756,0.6619718074798584
0.7129107713699341,0.6516432166099548
0.7387323975563049,0.6666666865348816
0.7678403854370117,0.6488263010978699
0.7868544459342957,0.6751173734664917
0.8051643371582031,0.6723004579544067
0.8265258073806763,0.6460093855857849
0.8509389758110046,0.6450704336166382
0.8669013977050781,0.6460093855857849
0.8845070600509644,0.6403756141662598
